Name,ATS,Identifier,CareerPageURL,CompanyType,Headquarters,Internships,NewGrad,JuniorRoles,WorkMode
Shopify,Greenhouse,shopify,https://www.shopify.com/careers,Public,"Ottawa, ON",Yes,Yes,Yes,Hybrid
Coveo,Greenhouse,coveo,https://www.coveo.com/en/company/careers,Public,"Montreal, QC",Yes,Yes,Yes,Hybrid
Lightspeed,Greenhouse,lightspeedhq,https://www.lightspeedhq.com/careers,Public,"Montreal, QC",Yes,Yes,Yes,Hybrid
AppDirect,Greenhouse,appdirect,https://www.appdirect.com/about/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Dialogue,Greenhouse,dialogue,https://www.dialogue.co/en/careers,Public,"Montreal, QC",Yes,Yes,Yes,Hybrid
Hopper,Greenhouse,hopper,https://hopper.com/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Plusgrade,Greenhouse,plusgrade,https://www.plusgrade.com/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Botpress,Ashby,botpress,https://botpress.com/careers,Startup,"Montreal, QC",Yes,Yes,Yes,Hybrid
Plotly,Greenhouse,plotly,https://plotly.com/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Vention,Workable,vention,https://ventionteams.com/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Fluent.ai,Workable,fluent-ai,https://fluent.ai/careers,Startup,"Montreal, QC",Yes,Yes,Yes,Hybrid
Intelcom,Workday,intelcom,https://intelcom.ca/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Workleap (GSoft),Greenhouse,workleap,https://workleap.com/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Valsoft,Workday,valsoft,https://www.valsoftcorp.com/careers,Private,"Montreal, QC",Yes,Yes,Yes,Hybrid
Paper,Greenhouse,paper,https://paper.co/careers,Startup,"Montreal, QC",Yes,Yes,Yes,Remote
Nuvei,Workday,nuvei,https://www.nuvei.com/careers,Public,"Montreal, QC",Yes,Yes,Yes,Hybrid
Wealthsimple,Greenhouse,wealthsimple,https://www.wealthsimple.com/en-ca/careers,Private,"Toronto, ON",Yes,Yes,Yes,Hybrid
Cohere,Ashby,cohere,https://cohere.com/careers,Startup,"Toronto, ON",Yes,Yes,Yes,Hybrid
Waabi,Ashby,waabi,https://waabi.ai/careers,Startup,"Toronto, ON",Yes,Yes,Yes,Hybrid
BenchSci,Greenhouse,benchsci,https://www.benchsci.com/careers,Startup,"Toronto, ON",Yes,Yes,Yes,Hybrid
Ada,Greenhouse,ada,https://www.ada.cx/careers,Startup,"Toronto, ON",Yes,Yes,Yes,Hybrid
StackAdapt,Greenhouse,stackadapt,https://www.stackadapt.com/careers,Scale-up,"Toronto, ON",Yes,Yes,Yes,Hybrid
1Password,Greenhouse,1password,https://1password.com/careers,Private,"Toronto, ON",Yes,Yes,Yes,Remote
Float Financial,Ashby,floatfinancial,https://floatfinancial.com/careers,Startup,"Toronto, ON",Yes,Yes,Yes,Remote
Neo Financial,Greenhouse,neofinancial,https://www.neofinancial.com/careers,Startup,"Calgary, AB",Yes,Yes,Yes,Hybrid
Clearco,Greenhouse,clearco,https://clear.co/careers,Startup,"Toronto, ON",Yes,Yes,Yes,Hybrid
TouchBistro,Greenhouse,touchbistro,https://www.touchbistro.com/careers,Scale-up,"Toronto, ON",Yes,Yes,Yes,Hybrid
Loopio,Greenhouse,loopio,https://www.loopio.com/careers,Scale-up,"Toronto, ON",Yes,Yes,Yes,Hybrid
ApplyBoard,Greenhouse,applyboard,https://applyboard.com/careers,Scale-up,"Waterloo, ON",Yes,Yes,Yes,Hybrid
Jobber,Greenhouse,jobber,https://getjobber.com/careers,Scale-up,"Edmonton, AB",Yes,Yes,Yes,Remote
Clio,Greenhouse,clio,https://www.clio.com/careers,Scale-up,"Vancouver, BC",Yes,Yes,Yes,Hybrid
Thinkific,Greenhouse,thinkific,https://www.thinkific.com/careers,Public,"Vancouver, BC",Yes,Yes,Yes,Hybrid
Jane App,Ashby,jane,https://jane.app/careers,Startup,"Vancouver, BC",Yes,Yes,Yes,Remote
Visier,Greenhouse,visier,https://www.visier.com/careers,Scale-up,"Vancouver, BC",Yes,Yes,Yes,Hybrid
D2L,Greenhouse,d2l,https://www.d2l.com/careers,Public,"Waterloo, ON",Yes,Yes,Yes,Hybrid
PointClickCare,Greenhouse,pointclickcare,https://careers.pointclickcare.com,Scale-up,"Toronto, ON",Yes,Yes,Yes,Hybrid
ecobee,Greenhouse,ecobee,https://www.ecobee.com/careers,Scale-up,"Toronto, ON",Yes,Yes,Yes,Hybrid
SOTI,Workday,soti,https://www.soti.net/company/careers,Private,"Mississauga, ON",Yes,Yes,Yes,Hybrid
OpenText,Workday,opentext,https://careers.opentext.com,Public,"Waterloo, ON",Yes,Yes,Yes,Hybrid
Kinaxis,Workday,kinaxis,https://www.kinaxis.com/careers,Public,"Ottawa, ON",Yes,Yes,Yes,Hybrid
